Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1003007,Addis Ababa university,3.6,2016,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,merchant,House wife,"Mobile phone with touch screen, ",Yes,44,24,18,86
1013546,Hawassa University,3.11,2020,Yes,Addis Ababa,Addis Ababa,,Primary Education,Non Literate Adult and Non Formal Education,Same as,Merchant,House Wife,"Mobile phone with touch screen, ",No,32,34,20,86
1017418,Addis Ababa University,3.79,2020,Yes,Amhara,Amhara,,Post Secondary,Non Literate Adult and Non Formal Education,Same as,Teacher,house wife,"Mobile phone with touch screen, ",Yes,33,30,23,86
1017639,Addis Ababa University,3.22,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Governmental work,Governmental Work,"Mobile phone with touch screen, ",Yes,37,30,19,86
1002999,Addis Ababa University,3.66,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Government Employee,Government Employee,"Mobile phone with touch screen, ",No,43,22,21,86
1002667,Addis Ababa University,3.79,2015,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farming,Farming,"Mobile phone with touch screen, ",No,44,30,12,86
1042832,Addis Ababa University,3.24,2017,Yes,Oromia,Addis Ababa,,Post Secondary,Post Secondary,Same as,Teacher,Secratery,"Mobile phone with touch screen, ",Yes,36,29,20,85
1040922,Addis Ababa university,3.05,2017,No,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,retired,retired,"Mobile phone with touch screen, ",Yes,35,29,21,85
1015925,Arbaminch University,3.21,2007,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Same as,Merchant,Public Servant," Desktop computer, ",Yes,30,32,23,85
1002955,Addis Ababa University,3.41,2020 G.C.,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Private Company,House Wife,"Mobile phone with touch screen, ",Yes,43,23,19,85
1002680,Addis Ababa University,3.46,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Civil Engineer,House wife,"Mobile phone with touch screen, ",Yes,39,28,18,85
1017572,Jimma university,3.01,2015,Yes,Addis Ababa,Addis Ababa,,Primary Education,Non Literate Adult and Non Formal Education,Same as,business man,house wife,"Mobile phone with touch screen, ",Yes,36,27,22,85
1017506,Addis Ababa Univesity,3.77,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,govt employe,House wife,"Mobile phone with touch screen, ",No,34,36,15,85
1017520,Myungsung medical college,3.45,2020,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Secondary Education,Primary Education,Same as,retired,house maid,"Mobile phone with touch screen, ",No,40,28,17,85
1085004,adama University,2.77,2014,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Governmental,Governmental,"Mobile phone with touch screen, ",Yes,39,26,20,85
1017712,Addis Ababa University,3.63,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Medical Doctor,Gender Expert,"Mobile phone with touch screen, ",Yes,47,19,19,85
1017481,Addis Ababa university,3.74,2018,Yes,Amhara,Amhara,,Primary Education,Primary Education,Same as,farming,farming,"Mobile phone with touch screen, ",No,40,30,15,85
1017502,HAWASSA UNIVERSITY,3.15,2010 E.C,Yes,Amhara,Amhara,,Primary Education,Primary Education,Same as,Farmer,Farmer,"Mobile phone with touch screen, ",Yes,28,36,21,85
1018666,jimma university,2.97,2009,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Engineer,Banker,"Mobile phone with touch screen, ",Yes,46,26,13,85
1018639,Addis Ababa University School of Commerce,3.81,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Consultant,Adminstrative Assistant,"Mobile phone with touch screen, ",Yes,39,31,15,85
1085078,UNERG,2,2016,Yes,Harari,Harari,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Worse than,unemploid,unemploid,"Mobile phone with touch screen, ",No,46,21,17,84
1017719,MyungSung Medical College,3.94,2019,Yes,,,,Secondary Education,Post Secondary,Same as,Artist,Translator,"Mobile phone with touch screen, ",Yes,46,18,20,84
1014991,Addis Ababa University,3.76,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Teacher,Teacher and local ngo manager,"Mobile phone with touch screen, ",Yes,40,21,23,84
1002735,University of Gondar,2.93,2009,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Better than,Human Resource Administration,Teacher,"Mobile phone with touch screen, ",No,43,21,20,84
1015967,Addis Ababa university,3.45,2019,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Better than,Retired,Teacher,"Mobile phone with touch screen, ",No,29,34,21,84
1040902,Addis Ababa Science and Technology University,3.77,2022,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,34,28,22,84
19160,Mekelle University,3.63,1998EC,Yes,Oromia,Oromia,,Primary Education,,Better than,Retired,self,"Mobile phone with touch screen, ",Yes,39,28,17,84
1040543,University of Gondar,3,2009,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Retired,Retired,"Mobile phone with touch screen, ",Yes,39,26,19,84
1032575,Addis Ababa university,3.73,2013/2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Civil engineer,none,"Mobile phone with touch screen, ",Yes,36,36,12,84
1015080,Addis Ababa University,3.82,2015,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,Merchant,"Mobile phone with touch screen, ",Yes,32,35,17,84
1014859,Addis Ababa University,3.65,2014,Yes,Oromia,Oromia,,Primary Education,Non Literate Adult and Non Formal Education,Same as,Merchant,Merchant,"Mobile phone with touch screen, ",Yes,38,22,24,84
1084889,AAU,3.29,2018,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,MERCHANT,MERCHANT,"Mobile phone with touch screen, ",No,43,25,16,84
1085186,Addis Ababa University,3.7,2020,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,driver,merchant,"Mobile phone with touch screen, ",Yes,44,23,17,84
1002691,Addis  Ababa University,3.26,2019,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,engineer,manager,"Mobile phone with touch screen, ",Yes,44,24,16,84
1017683,university of Gondar,3.05,2011,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,dead,housewife,"Mobile phone with touch screen, ",No,44,23,17,84
1085241,Addis Ababa University,3.51,2020,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,lecturer,housewife,"Mobile phone with touch screen, ",Yes,46,22,16,84
18181,Addis Ababa University,3.77,2010 E.C,Yes,Addis Ababa,Addis Ababa,,Secondary Education,,Same as,Locksmith,House Wife,"Mobile phone with touch screen, ",No,37,33,14,84
1002789,Addis Ababa University,3.27,2019,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Government employee,house wife,"Mobile phone with touch screen, ",Yes,43,23,18,84
1014538,Hawassa University,3.63,2019,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Secondary Education,Secondary Education,Same as,Merchant,House Wife,"Mobile phone with touch screen, ",Yes,38,32,14,84
1017513,Addis Ababa University,3.01,2018,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Same as,merchant,house wife,"Mobile phone with touch screen, ",Yes,35,29,20,84
1017660,University Of Gondar,2.94,2018,Yes,Oromia,Addis Ababa,,Primary Education,Primary Education,Same as,Retired,House Wife,"Mobile phone with touch screen, ",No,38,29,17,84
1017702,Ariba Minch University,3.72,2012e.c,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Better than,Merchant,House wife,"Mobile phone with touch screen, ",Yes,40,29,15,84
1018485,Addis Ababa University,3.69,2012 E.C,Yes,Dire Dewa,Dire Dewa,,Primary Education,Primary Education,Same as,Unemployed,House wife,"Mobile phone with touch screen, ",No,45,22,17,84
1017420,Addis Ababa university,3.57,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Better than,private,House wife,"Mobile phone with touch screen, ",Yes,34,33,17,84
1017718,Mekelle university,3,2014,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Non Literate Adult and Non Formal Education,Same as,Accountant,house wife,"Mobile phone with touch screen, ",No,43,28,13,84
1085005,university of gondar,3.25,2016,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,lawyer,House Wife,"Mobile phone with touch screen, ",Yes,43,22,19,84
1014757,Addis Ababa university,2.92,2012,No,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,House Madam," Desktop computer, ",No,37,24,23,84
1032597,Addis Ababa University,2.47,2003,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Same as,no job,house hold,"Mobile phone with touch screen, ",Yes,46,23,15,84
1019958,adama science and technology university,3.42,2018,Yes,Amhara,Amhara,,Post Secondary,Primary Education,Same as,private work,House,"Mobile phone with touch screen, ",No,35,32,17,84
1000133,AAU,3.79,2015,Yes,Addis Ababa,Addis Ababa,,Primary Education,Post Secondary,Same as,Private,home wife,"Mobile phone with touch screen, ",Yes,42,23,19,84
1002845,Addis Ababa University College of Health Sciences,3.71,2020,Yes,Addis Ababa,Addis Ababa,,Other,Secondary Education,Same as,Tourisim Consultant,Home Maker,"Mobile phone with touch screen, ",Yes,46,17,21,84
1040692,ste Maryss University,3.4,2014,Yes,Dire Dewa,Dire Dewa,Hearing Impairment,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,dead,home,"Mobile phone with touch screen, ",Yes,36,28,20,84
1040679,Mekelle University,3.99,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Deceased,Government Employee,"Mobile phone with touch screen, ",Yes,31,32,21,84
1017472,Myungsung Medical College,3.52,2020,Yes,Addis Ababa,Addis Ababa,,Other,Other,Better than,IT officer,Finance director,"Mobile phone with touch screen, ",Yes,37,26,21,84
1085031,Adigrat university,3.3,2013E.C,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,dead,dead,"Mobile phone with touch screen, ",No,36,26,22,84
1041978,Addis Ababa University,3.18,2020/2013,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,goverment office,business,"Mobile phone with touch screen, ",Yes,42,25,17,84
1040669,Unity University,3.96,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,Private,Banker,"Mobile phone with touch screen, ",Yes,35,30,19,84
1017023,AAU,3.3,2012,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Public adminstriation,Accountant,"Mobile phone with touch screen, ",Yes,36,31,17,84
1017722,Arbaminch university,3.47,2012 EC,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,unemployed,unemployed,"Mobile phone with touch screen, ",No,45,22,16,83
1018576,Addis Ababa university,3.53,2010 GC,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,RETIREE,TEACHER,"Mobile phone with touch screen, ",Yes,41,29,13,83
1017707,ste Paulss Hospital Millennium Medical college,3.74,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Veternarian,Teacher,"Mobile phone with touch screen, ",Yes,45,20,18,83
1040735,Addis Ababa University School of Commerce,3.54,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Private,Stay at home mom,"Mobile phone with touch screen, ",Yes,40,23,20,83
1012894,Addis Ababa University,2.8,2000 E.C,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Retired,Retired,"Mobile phone with touch screen, ",Yes,42,29,12,83
1042857,Addis Ababa University,2.85,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,self employee,not emoployeed,"Mobile phone with touch screen, ",Yes,36,31,16,83
1040740,Deber Berhan University,3.61,2013E.C/2021G.C,No,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Better than,Bussiness,None,"Mobile phone with touch screen, ",No,29,33,21,83
1013920,Addis Ababa University,3.52,2016,Yes,Oromia,Oromia,,Other,Other,Same as,N/A,N/A," Mobile phone without touch screen, ",No,37,28,18,83
1000072,Bahir Dar University,3.14,2008 GC,Yes,Amhara,Amhara,,Primary Education,Non Literate Adult and Non Formal Education,Better than,Merchant,Merchant,"Mobile phone with touch screen, ",Yes,31,29,23,83
1017580,Yekatit -12 hospital medical college,3.88,2013 EC,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,merchant,"Mobile phone with touch screen, ",No,35,29,19,83
1017642,hawassa university,3.47,2011,Yes,Amhara,Amhara,,Secondary Education,Primary Education,Same as,driver,merchant,"Mobile phone with touch screen, ",Yes,33,30,20,83
1017705,Addis Ababa University,3.79,2013ec,Yes,Harari,Harari,,Primary Education,Primary Education,Better than,Merchant,Merchant,"Mobile phone with touch screen, ",Yes,34,33,16,83
1002892,Universite claude bernard lyon 1,7,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,civil employee,housewifw,"Mobile phone with touch screen, ",Yes,44,21,18,83
1017608,Addis Ababa UNIVERSTY,3.56,2015,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,HOUSEWIFE,"Mobile phone with touch screen, ",Yes,35,31,17,83
1016229,hawassa university,3.5,2010,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Primary Education,Post Secondary,Better than,teacher,HOUSEHOLD,"Mobile phone with touch screen, ",Yes,36,30,17,83
1002814,Myungsung Medical College,3.51,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Manager,House Wife,"Mobile phone with touch screen, ",No,44,17,22,83
1019870,Addis Ababa University,2.64,2007 EC,Yes,Addis Ababa,Addis Ababa,,Other,Primary Education,Same as,Passed Away,House wife,"Mobile phone with touch screen, ",Yes,37,25,21,83
1017421,UNIVERSITY OF GONDER,3.25,2020,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,PRIVATE WORK,HOUSE WIFE,"Mobile phone with touch screen, ",Yes,36,30,17,83
1032594,Addis Ababa Institute of Technology (AAiT),3.69,2021,No,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,Retired,House Wife,"Mobile phone with touch screen, ",Yes,41,30,12,83
1085052,hawassa university,2.83,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Better than,merchant,house wife,"Mobile phone with touch screen, ",Yes,47,19,17,83
1017578,Addis Ababa university college of health science,3.45,2018,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Better than,government,House servant,"Mobile phone with touch screen, ",Yes,36,29,18,83
17637,Hawassa University,3.7,2016,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,,Same as,Farmer,Farmer,"Mobile phone with touch screen, ",No,33,30,20,83
1013851,Addis Ababa Institute of Technology,3.6,2011,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,Farmer,"Mobile phone with touch screen, ",No,32,34,17,83
1017025,Addis Ababa University,3.54,2018,Yes,Sidama,Sidama,,Post Secondary,Post Secondary,Same as,finace manger,auditor," Laptop computer, ",No,30,34,19,83
1014017,Jima University,2.92,2007,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Same as,Government employee,accountant,"Mobile phone with touch screen, ",Yes,39,26,18,83
1017440,mekelle university,2.81,2019,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,lawier,accountant,"Mobile phone with touch screen, ",Yes,33,31,19,83
1017672,Addis Ababa University,3.18,2016,Yes,Harari,Harari,,Post Secondary,Post Secondary,Same as,Retired,Teacher,"Mobile phone with touch screen, ",Yes,41,20,21,82
1040659,Addis Ababa University,3.18,2015,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Government Employee,Teacher,"Mobile phone with touch screen, ",Yes,28,32,22,82
1042810,Kotebe Metropolitan University Menilik II health science college,3.78,2014 E.C,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Accountant,Teacher,"Mobile phone with touch screen, ",Yes,32,29,21,82
1040923,jimma university,3.95,2021,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,teacher,teacher,"Mobile phone with touch screen, ",Yes,26,34,22,82
1085007,Hawas University,3.8,2013 EC,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",No,44,20,18,82
1040532,University of Gondar,3.2,2013 E.C,Yes,Addis Ababa,Addis Ababa,,Other,Post Secondary,Better than,Directior at an NGO,Social Worker,"Mobile phone with touch screen, ",Yes,34,26,22,82
1014596,Addis Ababa UNIVERSITY,3.9,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,SELF EMPLOYED,SELF EMPLOYED,"Mobile phone with touch screen, ",Yes,41,26,15,82
1042847,Addis Ababa Institute of Technology,3.6,2021,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Better than,Sales,Sales,"Mobile phone with touch screen, ",Yes,30,29,23,82
